ticket,profit,volume,balance,time,symbol
5454453277,-0.05,0.5,297.33,2025-09-27 22:20:41.352852,Volatility 15 (1s) Index
5454455320,1.19,1.0,298.35,2025-09-27 22:24:51.790100,Volatility 15 (1s) Index
5454457881,2.92,1.0,301.27,2025-09-27 22:28:12.219346,Volatility 15 (1s) Index
5454469795,-0.02,1.0,284.82,2025-09-27 22:57:05.474578,Volatility 15 (1s) Index
5454659193,28.92,2.0,320.92,2025-09-28 09:28:52.600851,Volatility 15 (1s) Index
5455441267,2.84,1.0,308.9,2025-09-29 11:50:27.880137,Volatility 15 (1s) Index
5455443071,3.21,1.0,312.11,2025-09-29 11:53:08.751696,Volatility 15 (1s) Index
5455444563,3.19,1.0,321.68,2025-09-29 11:55:53.613766,Volatility 15 (1s) Index
5455459177,-3.0,1.0,318.56,2025-09-29 12:21:41.866073,Volatility 15 (1s) Index
5455465508,-5.98,2.0,301.56,2025-09-29 12:31:22.388779,Volatility 15 (1s) Index
5455467338,-11.04,4.0,283.16,2025-09-29 12:37:57.959345,Volatility 15 (1s) Index
